Ref,Val,Package,PosX,PosY,Rot,Side
"J5","SAMTEC_QSE-040-01-X-D-A","SAMTEC_QSE-040-01-X-D-A",46.405000,-72.540000,90.000000,bottom
"J6","Samtec_MCX-J-P-H-ST-TH1","Samtec_MCX-J-P-H-ST-TH1",75.270000,-80.540000,0.000000,top
"J7","Samtec_MCX-J-P-H-ST-TH1","Samtec_MCX-J-P-H-ST-TH1",75.270000,-88.540000,0.000000,top
"J8","Samtec_MCX-J-P-H-ST-TH1","Samtec_MCX-J-P-H-ST-TH1",75.270000,-96.540000,0.000000,top
"J9","Samtec_MCX-J-P-H-ST-TH1","Samtec_MCX-J-P-H-ST-TH1",75.270000,-104.540000,0.000000,top
"J10","Samtec_MCX-J-P-H-ST-TH1","Samtec_MCX-J-P-H-ST-TH1",75.270000,-112.540000,0.000000,top
"J11","Samtec_MCX-J-P-H-ST-TH1","Samtec_MCX-J-P-H-ST-TH1",75.270000,-120.540000,0.000000,top
"J12","Samtec_MCX-J-P-H-ST-TH1","Samtec_MCX-J-P-H-ST-TH1",17.540000,-108.540000,180.000000,top
"J13","Samtec_MCX-J-P-H-ST-TH1","Samtec_MCX-J-P-H-ST-TH1",17.540000,-116.540000,180.000000,top
"J14","Samtec_MCX-J-P-H-ST-TH1","Samtec_MCX-J-P-H-ST-TH1",17.540000,-100.540000,180.000000,top
"J15","Samtec_MCX-J-P-H-ST-TH1","Samtec_MCX-J-P-H-ST-TH1",17.540000,-92.540000,180.000000,top
"J16","Samtec_MCX-J-P-H-ST-TH1","Samtec_MCX-J-P-H-ST-TH1",17.540000,-84.540000,180.000000,top
"J17","Samtec_MCX-J-P-H-ST-TH1","Samtec_MCX-J-P-H-ST-TH1",17.540000,-76.540000,180.000000,top
"J18","Samtec_MCX-J-P-H-ST-TH1","Samtec_MCX-J-P-H-ST-TH1",17.540000,-68.540000,180.000000,top
"J19","Samtec_MCX-J-P-H-ST-TH1","Samtec_MCX-J-P-H-ST-TH1",17.540000,-60.540000,180.000000,top
"J20","Samtec_MCX-J-P-H-ST-TH1","Samtec_MCX-J-P-H-ST-TH1",17.540000,-52.540000,180.000000,top
"J21","Samtec_MCX-J-P-H-ST-TH1","Samtec_MCX-J-P-H-ST-TH1",17.540000,-44.540000,180.000000,top
"J22","Samtec_MCX-J-P-H-ST-TH1","Samtec_MCX-J-P-H-ST-TH1",17.540000,-28.540000,180.000000,top
"J23","Samtec_MCX-J-P-H-ST-TH1","Samtec_MCX-J-P-H-ST-TH1",17.540000,-36.540000,180.000000,top
"J24","Samtec_MCX-J-P-H-ST-TH1","Samtec_MCX-J-P-H-ST-TH1",75.270000,-24.540000,0.000000,top
"J25","Samtec_MCX-J-P-H-ST-TH1","Samtec_MCX-J-P-H-ST-TH1",75.270000,-32.540000,0.000000,top
"J26","Samtec_MCX-J-P-H-ST-TH1","Samtec_MCX-J-P-H-ST-TH1",75.270000,-40.540000,0.000000,top
"J27","Samtec_MCX-J-P-H-ST-TH1","Samtec_MCX-J-P-H-ST-TH1",75.270000,-48.540000,0.000000,top
"J28","Samtec_MCX-J-P-H-ST-TH1","Samtec_MCX-J-P-H-ST-TH1",75.270000,-56.540000,0.000000,top
"J29","Samtec_MCX-J-P-H-ST-TH1","Samtec_MCX-J-P-H-ST-TH1",75.270000,-64.540000,0.000000,top
"J30","Samtec_MCX-J-P-H-ST-TH1","Samtec_MCX-J-P-H-ST-TH1",75.270000,-72.540000,0.000000,top
