Ref,Val,Package,PosX,PosY,Rot,Side
"IV","SMA_Amphenol_901-143_Horizontal","SMA_Amphenol_901-143_Horizontal",17.540000,-84.540000,-90.000000,top
"J5","SAMTEC_QSE-040-01-X-D-A","SAMTEC_QSE-040-01-X-D-A",46.405000,-84.540000,90.000000,top
"K0","SMA_Amphenol_901-143_Horizontal","SMA_Amphenol_901-143_Horizontal",75.270000,-119.540000,90.000000,top
"K1","SMA_Amphenol_901-143_Horizontal","SMA_Amphenol_901-143_Horizontal",75.270000,-139.540000,90.000000,top
"K2","SMA_Amphenol_901-143_Horizontal","SMA_Amphenol_901-143_Horizontal",17.540000,-94.540000,-90.000000,top
"K3","SMA_Amphenol_901-143_Horizontal","SMA_Amphenol_901-143_Horizontal",17.540000,-104.540000,-90.000000,top
"K4","SMA_Amphenol_901-143_Horizontal","SMA_Amphenol_901-143_Horizontal",17.540000,-114.540000,-90.000000,top
"K5","SMA_Amphenol_901-143_Horizontal","SMA_Amphenol_901-143_Horizontal",17.540000,-124.540000,-90.000000,top
"K6","SMA_Amphenol_901-143_Horizontal","SMA_Amphenol_901-143_Horizontal",17.540000,-134.540000,-90.000000,top
"K7","SMA_Amphenol_901-143_Horizontal","SMA_Amphenol_901-143_Horizontal",17.540000,-144.540000,-90.000000,top
"K8","SMA_Amphenol_901-143_Horizontal","SMA_Amphenol_901-143_Horizontal",75.270000,-129.540000,90.000000,top
"K9","SMA_Amphenol_901-143_Horizontal","SMA_Amphenol_901-143_Horizontal",75.270000,-109.540000,90.000000,top
"K10","SMA_Amphenol_901-143_Horizontal","SMA_Amphenol_901-143_Horizontal",75.270000,-99.540000,90.000000,top
"K11","SMA_Amphenol_901-143_Horizontal","SMA_Amphenol_901-143_Horizontal",75.270000,-89.540000,90.000000,top
"K12","SMA_Amphenol_901-143_Horizontal","SMA_Amphenol_901-143_Horizontal",75.270000,-79.540000,90.000000,top
"K13","SMA_Amphenol_901-143_Horizontal","SMA_Amphenol_901-143_Horizontal",75.270000,-69.540000,90.000000,top
"K14","SMA_Amphenol_901-143_Horizontal","SMA_Amphenol_901-143_Horizontal",75.270000,-59.540000,90.000000,top
"K15","SMA_Amphenol_901-143_Horizontal","SMA_Amphenol_901-143_Horizontal",75.270000,-39.540000,90.000000,top
"K16","SMA_Amphenol_901-143_Horizontal","SMA_Amphenol_901-143_Horizontal",17.540000,-24.540000,-90.000000,top
"K17","SMA_Amphenol_901-143_Horizontal","SMA_Amphenol_901-143_Horizontal",17.540000,-34.540000,-90.000000,top
"K18","SMA_Amphenol_901-143_Horizontal","SMA_Amphenol_901-143_Horizontal",17.540000,-44.540000,-90.000000,top
"K19","SMA_Amphenol_901-143_Horizontal","SMA_Amphenol_901-143_Horizontal",17.540000,-54.540000,-90.000000,top
"K20","SMA_Amphenol_901-143_Horizontal","SMA_Amphenol_901-143_Horizontal",17.540000,-64.540000,-90.000000,top
"K21","SMA_Amphenol_901-143_Horizontal","SMA_Amphenol_901-143_Horizontal",17.540000,-74.540000,-90.000000,top
"K22","SMA_Amphenol_901-143_Horizontal","SMA_Amphenol_901-143_Horizontal",75.270000,-29.540000,90.000000,top
"K23","SMA_Amphenol_901-143_Horizontal","SMA_Amphenol_901-143_Horizontal",75.270000,-49.540000,90.000000,top
