Ref,Val,Package,PosX,PosY,Rot,Side
"IV","U.FL_Hirose_U.FL-R-SMT-1_Vertical","U.FL_Hirose_U.FL-R-SMT-1_Vertical",15.000000,-59.475000,180.000000,top
"J5","SAMTEC_QSE-040-01-X-D-A","SAMTEC_QSE-040-01-X-D-A",43.865000,-59.475000,90.000000,top
"K0","U.FL_Hirose_U.FL-R-SMT-1_Vertical","U.FL_Hirose_U.FL-R-SMT-1_Vertical",72.730000,-80.475000,0.000000,top
"K1","U.FL_Hirose_U.FL-R-SMT-1_Vertical","U.FL_Hirose_U.FL-R-SMT-1_Vertical",72.730000,-92.475000,0.000000,top
"K2","U.FL_Hirose_U.FL-R-SMT-1_Vertical","U.FL_Hirose_U.FL-R-SMT-1_Vertical",15.000000,-65.475000,180.000000,top
"K3","U.FL_Hirose_U.FL-R-SMT-1_Vertical","U.FL_Hirose_U.FL-R-SMT-1_Vertical",15.000000,-71.475000,180.000000,top
"K4","U.FL_Hirose_U.FL-R-SMT-1_Vertical","U.FL_Hirose_U.FL-R-SMT-1_Vertical",15.000000,-77.475000,180.000000,top
"K5","U.FL_Hirose_U.FL-R-SMT-1_Vertical","U.FL_Hirose_U.FL-R-SMT-1_Vertical",15.000000,-83.475000,180.000000,top
"K6","U.FL_Hirose_U.FL-R-SMT-1_Vertical","U.FL_Hirose_U.FL-R-SMT-1_Vertical",15.000000,-89.475000,180.000000,top
"K7","U.FL_Hirose_U.FL-R-SMT-1_Vertical","U.FL_Hirose_U.FL-R-SMT-1_Vertical",15.000000,-95.475000,180.000000,top
"K8","U.FL_Hirose_U.FL-R-SMT-1_Vertical","U.FL_Hirose_U.FL-R-SMT-1_Vertical",72.730000,-86.475000,0.000000,top
"K9","U.FL_Hirose_U.FL-R-SMT-1_Vertical","U.FL_Hirose_U.FL-R-SMT-1_Vertical",72.730000,-74.475000,0.000000,top
"K10","U.FL_Hirose_U.FL-R-SMT-1_Vertical","U.FL_Hirose_U.FL-R-SMT-1_Vertical",72.730000,-68.475000,0.000000,top
"K11","U.FL_Hirose_U.FL-R-SMT-1_Vertical","U.FL_Hirose_U.FL-R-SMT-1_Vertical",72.730000,-62.475000,0.000000,top
"K12","U.FL_Hirose_U.FL-R-SMT-1_Vertical","U.FL_Hirose_U.FL-R-SMT-1_Vertical",72.730000,-56.475000,0.000000,top
"K13","U.FL_Hirose_U.FL-R-SMT-1_Vertical","U.FL_Hirose_U.FL-R-SMT-1_Vertical",72.730000,-50.475000,0.000000,top
"K14","U.FL_Hirose_U.FL-R-SMT-1_Vertical","U.FL_Hirose_U.FL-R-SMT-1_Vertical",72.730000,-44.475000,0.000000,top
"K15","U.FL_Hirose_U.FL-R-SMT-1_Vertical","U.FL_Hirose_U.FL-R-SMT-1_Vertical",72.730000,-32.475000,0.000000,top
"K16","U.FL_Hirose_U.FL-R-SMT-1_Vertical","U.FL_Hirose_U.FL-R-SMT-1_Vertical",15.000000,-23.475000,180.000000,top
"K17","U.FL_Hirose_U.FL-R-SMT-1_Vertical","U.FL_Hirose_U.FL-R-SMT-1_Vertical",15.000000,-29.475000,180.000000,top
"K18","U.FL_Hirose_U.FL-R-SMT-1_Vertical","U.FL_Hirose_U.FL-R-SMT-1_Vertical",15.000000,-35.475000,180.000000,top
"K19","U.FL_Hirose_U.FL-R-SMT-1_Vertical","U.FL_Hirose_U.FL-R-SMT-1_Vertical",15.000000,-41.475000,180.000000,top
"K20","U.FL_Hirose_U.FL-R-SMT-1_Vertical","U.FL_Hirose_U.FL-R-SMT-1_Vertical",15.000000,-47.475000,180.000000,top
"K21","U.FL_Hirose_U.FL-R-SMT-1_Vertical","U.FL_Hirose_U.FL-R-SMT-1_Vertical",15.000000,-53.475000,180.000000,top
"K22","U.FL_Hirose_U.FL-R-SMT-1_Vertical","U.FL_Hirose_U.FL-R-SMT-1_Vertical",72.730000,-26.475000,0.000000,top
"K23","U.FL_Hirose_U.FL-R-SMT-1_Vertical","U.FL_Hirose_U.FL-R-SMT-1_Vertical",72.730000,-38.475000,0.000000,top
