Ref,Val,Package,PosX,PosY,Rot,Side
"J5","SAMTEC_QSE-040-01-X-D-A","SAMTEC_QSE-040-01-X-D-A",46.550000,-70.000000,90.000000,bottom
"IV","SMP_Amphenol_SMP-MSLD-PCS-20","SMP_Amphenol_SMP-MSLD-PCS-20",75.415000,-70.000000,-90.000000,top
"K0","SMP_Amphenol_SMP-MSLD-PCS-20","SMP_Amphenol_SMP-MSLD-PCS-20",17.685000,-98.000000,90.000000,top
"K1","SMP_Amphenol_SMP-MSLD-PCS-20","SMP_Amphenol_SMP-MSLD-PCS-20",17.685000,-114.000000,90.000000,top
"K2","SMP_Amphenol_SMP-MSLD-PCS-20","SMP_Amphenol_SMP-MSLD-PCS-20",75.415000,-78.000000,-90.000000,top
"K3","SMP_Amphenol_SMP-MSLD-PCS-20","SMP_Amphenol_SMP-MSLD-PCS-20",75.415000,-86.000000,-90.000000,top
"K4","SMP_Amphenol_SMP-MSLD-PCS-20","SMP_Amphenol_SMP-MSLD-PCS-20",75.415000,-94.000000,-90.000000,top
"K5","SMP_Amphenol_SMP-MSLD-PCS-20","SMP_Amphenol_SMP-MSLD-PCS-20",75.415000,-102.000000,-90.000000,top
"K6","SMP_Amphenol_SMP-MSLD-PCS-20","SMP_Amphenol_SMP-MSLD-PCS-20",75.415000,-110.000000,-90.000000,top
"K7","SMP_Amphenol_SMP-MSLD-PCS-20","SMP_Amphenol_SMP-MSLD-PCS-20",75.415000,-118.000000,-90.000000,top
"K8","SMP_Amphenol_SMP-MSLD-PCS-20","SMP_Amphenol_SMP-MSLD-PCS-20",17.685000,-106.000000,90.000000,top
"K9","SMP_Amphenol_SMP-MSLD-PCS-20","SMP_Amphenol_SMP-MSLD-PCS-20",17.685000,-90.000000,90.000000,top
"K10","SMP_Amphenol_SMP-MSLD-PCS-20","SMP_Amphenol_SMP-MSLD-PCS-20",17.685000,-82.000000,90.000000,top
"K11","SMP_Amphenol_SMP-MSLD-PCS-20","SMP_Amphenol_SMP-MSLD-PCS-20",17.685000,-74.000000,90.000000,top
"K12","SMP_Amphenol_SMP-MSLD-PCS-20","SMP_Amphenol_SMP-MSLD-PCS-20",17.685000,-66.000000,90.000000,top
"K13","SMP_Amphenol_SMP-MSLD-PCS-20","SMP_Amphenol_SMP-MSLD-PCS-20",17.685000,-58.000000,90.000000,top
"K14","SMP_Amphenol_SMP-MSLD-PCS-20","SMP_Amphenol_SMP-MSLD-PCS-20",17.685000,-50.000000,90.000000,top
"K15","SMP_Amphenol_SMP-MSLD-PCS-20","SMP_Amphenol_SMP-MSLD-PCS-20",17.685000,-34.000000,90.000000,top
"K16","SMP_Amphenol_SMP-MSLD-PCS-20","SMP_Amphenol_SMP-MSLD-PCS-20",75.415000,-22.000000,-90.000000,top
"K17","SMP_Amphenol_SMP-MSLD-PCS-20","SMP_Amphenol_SMP-MSLD-PCS-20",75.415000,-30.000000,-90.000000,top
"K18","SMP_Amphenol_SMP-MSLD-PCS-20","SMP_Amphenol_SMP-MSLD-PCS-20",75.415000,-38.000000,-90.000000,top
"K19","SMP_Amphenol_SMP-MSLD-PCS-20","SMP_Amphenol_SMP-MSLD-PCS-20",75.415000,-46.000000,-90.000000,top
"K20","SMP_Amphenol_SMP-MSLD-PCS-20","SMP_Amphenol_SMP-MSLD-PCS-20",75.415000,-54.000000,-90.000000,top
"K21","SMP_Amphenol_SMP-MSLD-PCS-20","SMP_Amphenol_SMP-MSLD-PCS-20",75.415000,-62.000000,-90.000000,top
"K22","SMP_Amphenol_SMP-MSLD-PCS-20","SMP_Amphenol_SMP-MSLD-PCS-20",17.685000,-26.000000,90.000000,top
"K23","SMP_Amphenol_SMP-MSLD-PCS-20","SMP_Amphenol_SMP-MSLD-PCS-20",17.685000,-42.000000,90.000000,top
