Designator,Mid X,Mid Y,Layer,Rotation
J5,46.405000,-72.540000,Bottom,90.000000
J6,75.270000,-80.540000,Top,0.000000
J7,75.270000,-88.540000,Top,0.000000
J8,75.270000,-96.540000,Top,0.000000
J9,75.270000,-104.540000,Top,0.000000
J10,75.270000,-112.540000,Top,0.000000
J11,75.270000,-120.540000,Top,0.000000
J12,17.540000,-116.540000,Top,180.000000
J13,17.540000,-108.540000,Top,180.000000
J14,17.540000,-100.540000,Top,180.000000
J15,17.540000,-92.540000,Top,180.000000
J16,17.540000,-84.540000,Top,180.000000
J17,17.540000,-76.540000,Top,180.000000
J18,17.540000,-68.540000,Top,180.000000
J19,17.540000,-60.540000,Top,180.000000
J20,17.540000,-52.540000,Top,180.000000
J21,17.540000,-44.540000,Top,180.000000
J22,17.540000,-36.540000,Top,180.000000
J23,17.540000,-28.540000,Top,180.000000
J24,75.270000,-24.540000,Top,0.000000
J25,75.270000,-32.540000,Top,0.000000
J26,75.270000,-40.540000,Top,0.000000
J27,75.270000,-48.540000,Top,0.000000
J28,75.270000,-56.540000,Top,0.000000
J29,75.270000,-64.540000,Top,0.000000
J30,75.270000,-72.540000,Top,0.000000
